,0
1140,FWP
1141,FXN
1142,FXNC
1143,FZT
1144,FZT.U
1145,GAB
1146,GACQU
1147,GAIA
1148,GALT
1149,GAMC
1150,GAMCU
1151,GAN
1152,GANX
1153,GAPA.U
1154,GASS
1155,GATO
1156,GAU
1157,GB
1158,GBDC
1159,GBNY
1160,GBR
1161,GBRG
1162,GBRGU
1163,GBS
1164,GCAC
1165,GCACU
1166,GCMG
1167,GCV
1168,GDL
1169,GDO
1170,GDP
1171,GDXD
1172,GDXU
1173,GDYN
1174,GE
1175,GECC
1176,GEG
1177,GEL
1178,GENC
1179,GENE
1180,GENI
1181,GEO
1182,GEOS
1183,GER
1184,GERN
1185,GEVO
1186,GF
1187,GFI
1188,GFX
1189,GFX.U
1190,GGAL
1191,GGMC
1192,GGN
1193,GGPIU
1194,GGT
1195,GGZ
1196,GHL
1197,GHLD
1198,GHM
1199,GHVIU
1200,GHY
1201,GIFI
1202,GIG
1203,GIGGU
1204,GIGM
1205,GIIX
1206,GIIXU
1207,GILT
1208,GIM
1209,GIWWU
1210,GJH
1211,GLAD
1212,GLAQ
1213,GLAQU
1214,GLBL
1215,GLBS
1216,GLBZ
1217,GLDD
1218,GLDG
1219,GLDI
1220,GLDM
1221,GLEO
1222,GLG
1223,GLHA
1224,GLHAU
1225,GLMD
1226,GLNG
1227,GLO
1228,GLOP
1229,GLQ
1230,GLRE
1231,GLSPT
1232,GLSPU
1233,GLT
1234,GLTO
1235,GLUE
1236,GLV
1237,GLYC
1238,GMBL
1239,GMBT
1240,GMBTU
1241,GMDA
1242,GMII
1243,GMIIU
1244,GMRE
1245,GMTX
1246,GMVD
1247,GNAC
1248,GNACU
1249,GNCA
1250,GNFT
1251,GNK
1252,GNLN
1253,GNOG
1254,GNPK
1255,GNSS
1256,GNUS
1257,GNW
1258,GOAC.U
1259,GOAU
1260,GOBI
1261,GOCO
1262,GOED
1263,GOGL
1264,GOGO
1265,GOL
1266,GORO
1267,GOSS
1268,GOVX
1269,GP
1270,GPAC
1271,GPACU
1272,GPK
1273,GPL
1274,GPM
1275,GPP
1276,GPRK
1277,GPRO
1278,GPX
1279,GRAY
1280,GRCL
1281,GRCY
1282,GRCYU
1283,GRF
1284,GRFS
1285,GRIL
1286,GRIN
1287,GRNQ
1288,GRNV
1289,GRNVU
1290,GROM
1291,GROY
1292,GRSV
1293,GRSVU
1294,GRTS
1295,GRTX
1296,GRUB
1297,GRVI
1298,GRX
1299,GSAH
1300,GSAQ
1301,GSAQU
1302,GSAT
1303,GSBD
1304,GSEV
1305,GSEVU
1306,GSG
1307,GSIT
1308,GSKY
1309,GSL
1310,GSM
1311,GSP
1312,GSQB.U
1313,GSQD
1314,GSS
1315,GSV
1316,GT
1317,GTBP
1318,GTE
1319,GTES
